年月,地區,卡數,總交易筆數,總交易金額[新臺幣],跨境交易筆數,跨境交易金額[新臺幣]
201508,10014000,73245,316291,648645251,6125,21354294
201508,10016000,32064,132847,291557583,2282,8308455
201508,09020000,25188,104699,236730394,2152,7676658
201508,09007000,3869,16539,39211037,331,902237
201509,63000000,2976372,13632952,41368633691,627023,3751724834
201509,65000000,3542065,14773366,35761073018,517336,2256357051
201509,68000000,1519326,6220579,15147864358,189301,847091469
201509,10004000,381637,1686415,4002767833,52362,238323257
201509,10018000,405887,1816984,4647044736,63261,295483799
201509,10005000,268142,1078954,2351124848,21055,90378444
201509,66000000,1977452,8255402,21025070236,236661,1149670051
201509,10007000,566368,2218307,5191218247,51536,219620867
201509,10008000,191578,750804,1648906069,15576,67965580
201509,10009000,222946,861954,1870139136,17502,62678445
201509,10010000,172550,656768,1418145043,12192,43248486
201509,10020000,168460,654985,1676592270,15495,64701183
201509,67000000,1144893,4615394,10234724066,119373,520447490
201509,64000000,1860828,7316105,17305416979,194111,800378808
201509,10013000,321748,1230516,2755735060,23219,93153990
201509,10017000,263462,1047169,2257049941,30003,117022366
201509,10002000,192041,770956,1781936873,18881,74962681
201509,10015000,134686,570467,1206879394,12600,47927181
201509,10014000,71802,290635,611753022,5209,17143839
201509,10016000,31895,125217,278702230,2128,7155412
201509,09020000,24472,93792,231569716,1540,6200906
201509,09007000,3637,13735,31909808,289,639736
201510,63000000,3022573,14297048,42372988809,626795,3601046135
201510,65000000,3594145,15438880,37640890669,500073,2305545260
201510,68000000,1540453,6502178,15842338369,185998,867119000
201510,10004000,385718,1738668,4163620375,51627,253367254
201510,10018000,411403,1913524,4760754406,63165,284805980
201510,10005000,270374,1122594,2443073832,23285,87900563
201510,66000000,1990553,8496237,21318007675,218227,1110120706
201510,10007000,569007,2288742,5284847739,47297,208013178
201510,10008000,192102,771990,1684401496,14923,71183561
201510,10009000,225123,901564,1926544764,15784,69423480
201510,10010000,174612,684707,1465001006,12354,47983347
201510,10020000,170801,683939,1668611749,14508,60744726
201510,67000000,1161184,4790708,10197027374,116264,498132414
201510,64000000,1906259,7755647,18274010921,188130,811459097
201510,10013000,331561,1307463,3084614950,23070,97934157
201510,10017000,266204,1119435,2457599903,29269,124030539
201510,10002000,196023,822817,1837597108,18670,74525575
201510,10015000,140047,612257,1429002676,11249,46907789
201510,10014000,72547,301877,625383694,5292,20996243
201510,10016000,33094,133214,300350354,2520,8401764
201510,09020000,25246,99148,239816078,1667,6691670
201510,09007000,3663,14265,33393832,404,997803
201511,63000000,3034452,14261556,42592807126,674874,3632715965
201511,65000000,3590405,15305011,37040037755,548013,2341006615
201511,68000000,1544306,6504579,15980777471,208604,910812313
201511,10004000,384009,1721152,4033473927,58970,261601693
201511,10018000,408519,1856470,4567474463,68832,303018285
201511,10005000,269178,1113803,2314835107,25038,95279777
201511,66000000,1958144,8237793,19819608495,254083,1189572450
201511,10007000,565031,2237868,5069698442,55701,226394872
201511,10008000,190961,757282,1589137095,16156,64551150
201511,10009000,223689,883965,1872636104,17718,64223895
201511,10010000,173808,674925,1422596027,13317,47686813
201511,10020000,168785,673877,1594986190,16799,65173156
201511,67000000,1176750,4967591,11550696196,125451,529006097
201511,64000000,1904008,7811250,18577742758,207356,852379945
201511,10013000,329024,1286894,2907983693,25223,92536404
201511,10017000,266511,1082872,2402748439,31379,120560143
201511,10002000,194374,809392,1800530473,21123,81199053
201511,10015000,136971,593444,1289878555,13078,50250639
201511,10014000,72181,299144,634188698,5881,20244985
